--------- beginning of /dev/log/system
W/ThrottleService(  584): unable to find stats for iface rmnet0
D/CordovaActivity(12821): onMessage(spinner,stop)
W/PluginManager(12821): THREAD WARNING: exec() call to App.show blocked the main thread for 27ms. Plugin should use CordovaInterface.getThreadPool().
E/Trace   (12851): error opening trace file: No such file or directory (2)
D/PowerManagerService(  584): acquireWakeLock(431c14c0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x3
V/AlarmManager(  584): sending alarm PendingIntent{430a5890: PendingIntentRecord{433380a0 com.whatsapp broadcastIntent}}, intent=com.whatsapp.messaging.MessageService.CLIENT_PINGER_ACTION, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5968558, repeateInterval=240000
D/StateMachine(  584): handleMessage: E msg.what=131155
D/CordovaLog(12821): file:///android_asset/www/js/app.js: Line 61 : Uncaught ReferenceError: StatusBar is not defined
E/Web Console(12821): Uncaught ReferenceError: StatusBar is not defined at file:///android_asset/www/js/app.js:61
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-10ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-10ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -41
D/StateMachine(  584): handleMessage: X
I/ActivityThread(12851): Pub com.google.android.finsky.QSBSuggestionsProvider2: com.google.android.finsky.providers.QSBSuggestionsProvider
I/ActivityThread(12851): Pub com.google.android.finsky.AppIconProvider: com.google.android.finsky.providers.AppIconProvider
I/ActivityThread(12851): Pub com.google.android.finsky.RecentSuggestionsProvider: com.google.android.finsky.providers.RecentSuggestionsProvider
D/PowerManagerService(  584): ALG=2, lsvalue=90(2th)->160(3th), last_level=3, lValue=99->99, bValue=255, kValue=0, mPowerState=0x3, mSkippedScreenOn=false, mInitialAnimation=false, immediate=false
D/libc    (  249): _resolv_cache_lookup: lookup
D/libc    (  249): NOT IN CACHE
D/libc    (  249): _resolv_cache_lookup: lookup
D/libc    (  249): NOT IN CACHE
D/libc    (  249): [SMD][v0913] Extended TTL = 43200, original TTL = 27
D/libc    (  249): [SMD][v0913] Extended TTL = 43200, original TTL = 27
I/PackageManager(  584):  setEnabledSetting(), pkgName=com.android.vending, clsName=com.android.vending.AssetBrowserActivity, state=1, flag=1, pid=12851, uid=10132
D/Finsky  (12851): [1] FinskyApp.onCreate: Initializing network with DFE https://android.clients.google.com/fdfe/
W/StaticBindingVerifier(12805): Verify
W/dalvikvm(12805): VFY: unable to resolve virtual method 41936: Lcom/facebook/resources/FbResources;.getDrawable (ILandroid/content/res/Resources$Theme;)Landroid/graphics/drawable/Drawable;
W/dalvikvm(12851): VFY: unable to resolve static method 1276: Landroid/provider/Settings$Global;.getInt (Landroid/content/ContentResolver;Ljava/lang/String;I)I
D/Finsky  (12851): [1] DailyHygiene.goMakeHygieneIfDirty: No need to run daily hygiene.
W/dalvikvm(12805): VFY: unable to resolve virtual method 353: Landroid/content/res/Configuration;.setLayoutDirection (Ljava/util/Locale;)V
W/dalvikvm(12851): VFY: unable to resolve static method 1276: Landroid/provider/Settings$Global;.getInt (Landroid/content/ContentResolver;Ljava/lang/String;I)I
W/dalvikvm(12851): VFY: unable to resolve virtual method 1241: Landroid/os/StatFs;.getAvailableBytes ()J
W/dalvikvm(12851): VFY: unable to resolve virtual method 42705: Lcom/google/android/play/layout/PlayCardViewBase;.setTransitionName (Ljava/lang/String;)V
W/dalvikvm(12851): VFY: unable to resolve virtual method 42704: Lcom/google/android/play/layout/PlayCardViewBase;.setTransitionGroup (Z)V
I/ActivityManager(  584): Recipient 12404
I/ActivityManager(  584): Recipient 10873
W/dalvikvm(12851): VFY: unable to resolve virtual method 9352: Landroid/view/View;.getTransitionName ()Ljava/lang/String;
I/ActivityManager(  584): Process com.htc.calendar (pid 12404) has died.
I/ActivityManager(  584): Process com.htc.htcpowermanager:remote (pid 10873) has died.
I/PackageManager(  584):  setEnabledSetting(), pkgName=com.android.vending, clsName=com.google.android.finsky.activities.DebugActivity, state=2, flag=1, pid=12851, uid=10132
W/dalvikvm(12851): VFY: unable to resolve virtual method 585: Landroid/content/res/Configuration;.getLayoutDirection ()I
W/dalvikvm(12851): VFY: unable to resolve virtual method 539: Landroid/content/pm/PackageManager;.extendVerificationTimeout (IIJ)V
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -43
D/StateMachine(  584): handleMessage: X
V/AlarmManager(  584): sending alarm PendingIntent{4311ef28: PendingIntentRecord{42bd3198 com.google.android.location broadcastIntent}}, intent=com.google.android.location.nlp.ALARM_WAKEUP_LOCATOR, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5732531, repeateInterval=0
I/Choreographer(12821): Skipped 138 frames!  The application may be doing too much work on its main thread.
D/CordovaLog(12821): file:///android_asset/www/js/ratchet.min.js: Line 10 : Uncaught Error: SYNTAX_ERR: DOM Exception 12
E/Web Console(12821): Uncaught Error: SYNTAX_ERR: DOM Exception 12 at file:///android_asset/www/js/ratchet.min.js:10
D/CordovaWebViewClient(12821): onPageFinished(file:///android_asset/www/index.html#home/)
D/CordovaActivity(12821): onMessage(onPageFinished,file:///android_asset/www/index.html#home/)
V/LocationManagerService(  584): getAllProviders
D/HybridProvider(  584): getName
D/Finsky  (12851): [1] GmsCoreHelper.cleanupNlp: result=false type=1
D/Socket_Alarm(12851): registerHTCSocketMonitorCallBack
D/Socket_Alarm(12851): set mSocketMonitor
D/Socket_Alarm(12851): HTCSocketMonitorImpl::HTCSocketMonitorImpl
D/Finsky  (12851): [1] 2.run: Loaded library for account: [QkPhrvKtIaKRqB497nnNqDpM2h0]
I/ActivityManager(  584): Start proc com.google.android.apps.plus for broadcast com.google.android.apps.plus/.service.PackagesMediaMonitor: pid=12926 uid=10133 gids={3003, 3002, 1015, 1006, 1028}
D/InAppBrowser(12821): target = _blank
D/InAppBrowser(12821): in blank
D/Finsky  (12851): [1] 2.run: Loaded library for account: [gKXbJhL8NA2nPUzZyFpjB6tKi7U]
D/Finsky  (12851): [1] 2.run: Finished loading 2 libraries.
D/Finsky  (12851): [1053] InAppBillingUtils.pickAccount: com.rhmsoft.fm: Account determined from installer data - [gKXbJhL8NA2nPUzZyFpjB6tKi7U]
D/Finsky  (12851): [1076] InAppBillingUtils.pickAccount: com.rhmsoft.fm: Account determined from installer data - [gKXbJhL8NA2nPUzZyFpjB6tKi7U]
E/Trace   (12926): error opening trace file: No such file or directory (2)
D/Finsky  (12851): [1] RestoreTracker.stopServiceIfDone: Restore complete with 0 success and 0 failed.
W/dalvikvm(12805): VFY: unable to resolve virtual method 330: Landroid/content/res/Configuration;.setLayoutDirection (Ljava/util/Locale;)V
W/PluginManager(12821): THREAD WARNING: exec() call to InAppBrowser.open blocked the main thread for 288ms. Plugin should use CordovaInterface.getThreadPool().
V/PhoneStatusBar(  840): setLightsOn(true)
D/memalloc(  240): ion: Allocated buffer base:0x42b43000 size:1880064 fd:73
D/memalloc(  240): ion: Allocated buffer base:0x40024000 size:4096 fd:100
D/memalloc(12821): ion: Mapped buffer base:0x5752a000 size:1880064 offset:0 fd:103
D/libc    (  249): _resolv_cache_lookup: lookup
D/libc    (  249): [SMD]bl_level = 30
D/libc    (  249): [SMD][Mode1]: Screen on and original TTL is expired
D/libc    (  249):  Cache EXPIRED (STALE ENTRY 0x41f1bc28 DISCARDED) or need renew
D/memalloc(12821): ion: Mapped buffer base:0x56c43000 size:4096 offset:0 fd:105
W/dalvikvm(12821): disableGcForExternalAlloc: false
D/memalloc(  240): ion: Allocated buffer base:0x437d4000 size:1880064 fd:38
D/memalloc(  240): ion: Allocated buffer base:0x400ae000 size:4096 fd:104
D/memalloc(12821): ion: Mapped buffer base:0x576f5000 size:1880064 offset:0 fd:107
D/memalloc(12821): ion: Mapped buffer base:0x56c44000 size:4096 offset:0 fd:109
W/dalvikvm(12821): disableGcForExternalAlloc: false
D/libc    (  249): [SMD][v0913] Extended TTL = 43200, original TTL = 43
E/dalvikvm(12926): Could not find class 'android.app.Notification$Action$Builder', referenced from method b.a
W/dalvikvm(12926): VFY: unable to resolve new-instance 303 (Landroid/app/Notification$Action$Builder;) in Lb;
E/dalvikvm(12926): Could not find class 'android.graphics.drawable.RippleDrawable', referenced from method b.a
W/dalvikvm(12926): VFY: unable to resolve new-instance 463 (Landroid/graphics/drawable/RippleDrawable;) in Lb;
I/ActivityManager(  584): Recipient 11913
I/ActivityManager(  584): Process com.htc.reportagent (pid 11913) has died.
W/dalvikvm(12926): VFY: unable to find class referenced in signature (Lzr;)
W/dalvikvm(12926): VFY: unable to find class referenced in signature (Lzr;)
W/dalvikvm(12926): VFY: unable to find class referenced in signature (Lzr;)
W/dalvikvm(12926): VFY: unable to find class referenced in signature (Lzr;)
W/dalvikvm(12926): VFY: unable to find class referenced in signature (Lzr;)
W/dalvikvm(12926): VFY: unable to find class referenced in signature (Lzr;)
W/dalvikvm(12926): VFY: unable to find class referenced in signature (Lzr;)
E/dalvikvm(12926): Could not find class 'android.app.Notification$Action$Builder', referenced from method b.a
W/dalvikvm(12926): VFY: unable to resolve new-instance 303 (Landroid/app/Notification$Action$Builder;) in Lb;
E/dalvikvm(12926): Could not find class 'android.transition.Transition', referenced from method b.a
W/dalvikvm(12926): VFY: unable to resolve check-cast 692 (Landroid/transition/Transition;) in Lb;
E/dalvikvm(12926): Could not find class 'android.transition.Transition', referenced from method b.a
W/dalvikvm(12926): VFY: unable to resolve check-cast 692 (Landroid/transition/Transition;) in Lb;
E/dalvikvm(12926): Could not find class 'android.transition.Transition', referenced from method b.a
W/dalvikvm(12926): VFY: unable to resolve check-cast 692 (Landroid/transition/Transition;) in Lb;
W/dalvikvm(12926): VFY: unable to resolve virtual method 4383: Landroid/view/ViewGroup;.isTransitionGroup ()Z
W/dalvikvm(12926): VFY: unable to resolve virtual method 4206: Landroid/view/View;.getTransitionName ()Ljava/lang/String;
W/dalvikvm(12926): VFY: unable to find class referenced in signature ([Landroid/app/RemoteInput;)
E/dalvikvm(12926): Could not find class 'android.app.RemoteInput[]', referenced from method b.a
W/dalvikvm(12926): VFY: unable to resolve new-array 12530 ([Landroid/app/RemoteInput;) in Lb;
E/dalvikvm(12926): Could not find class 'android.transition.Transition', referenced from method b.b
W/dalvikvm(12926): VFY: unable to resolve check-cast 692 (Landroid/transition/Transition;) in Lb;
D/memalloc(  240): ion: Allocated buffer base:0x43ad2000 size:1880064 fd:108
D/memalloc(  240): ion: Allocated buffer base:0x401cd000 size:4096 fd:109
D/memalloc(12821): ion: Mapped buffer base:0x57d00000 size:1880064 offset:0 fd:102
D/memalloc(12821): ion: Mapped buffer base:0x566e5000 size:4096 offset:0 fd:112
D/StateMachine(  584): handleMessage: E msg.what=131155
E/dalvikvm(12805): Could not find class 'android.telephony.CellInfoCdma', referenced from method com.facebook.common.hardware.CellDiagnosticsSerializer.c
W/dalvikvm(12805): VFY: unable to resolve instanceof 697 (Landroid/telephony/CellInfoCdma;) in Lcom/facebook/common/hardware/CellDiagnosticsSerializer;
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-75ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-76ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -45
D/StateMachine(  584): handleMessage: X
W/dalvikvm(12926): VFY: unable to resolve virtual method 1747: Landroid/content/res/Configuration;.getLayoutDirection ()I
W/dalvikvm(12926): Unable to resolve superclass of Lar; (690)
W/dalvikvm(12926): Link of class 'Lar;' failed
W/dalvikvm(12926): Unable to resolve superclass of Lat; (690)
W/dalvikvm(12926): Link of class 'Lat;' failed
I/ActivityManager(  584): Recipient 12750
I/ActivityManager(  584): Process com.android.keychain (pid 12750) has died.
I/ActivityManager(  584): Recipient 12763
I/ActivityManager(  584): Process com.htc.providers.settings:remote (pid 12763) has died.
I/ActivityThread(12926): Pub com.google.android.apps.photos.content: com.google.android.apps.photos.content.GooglePhotosImageProvider
I/ActivityThread(12926): Pub com.google.android.apps.plus.content.EsPicasaStoreProvider: com.google.android.libraries.social.picasalegacy.PicasaPhotoContentProvider
I/ActivityThread(12926): Pub com.google.android.apps.photos.GooglePhotoDownsyncProvider: com.google.android.apps.photos.content.GooglePhotoDownsyncProvider
I/ActivityThread(12926): Pub com.google.plus.platform: com.google.android.libraries.social.adsprovider.AdsProvider
I/ActivityThread(12926): Pub com.google.android.apps.plus.iu.EsGoogleIuProvider: com.google.android.libraries.social.autobackup.AutoBackupProvider
I/ActivityThread(12926): Pub com.google.android.apps.plus.content.EsProvider: com.google.android.apps.plus.content.EsProvider
I/ActivityThread(12926): Pub com.google.android.apps.plus: android.support.v4.content.FileProvider
I/NONPRIME(12821): <CallBackProxy> Send to WebViewClient.
D/libc    (  249): _resolv_cache_lookup: lookup
D/libc    (  249): [SMD]bl_level = 30
D/libc    (  249): [SMD][Mode1]: Screen on and original TTL is expired
D/libc    (  249):  Cache EXPIRED (STALE ENTRY 0x41f536a8 DISCARDED) or need renew
D/libc    (  249): [SMD][v0913] Extended TTL = 43200, original TTL = 41
W/ManagedEGLContext( 1163): doTerminate failed: EGL count is 2 but managed count is 1
D/Socket_Alarm(12805): registerHTCSocketMonitorCallBack
D/Socket_Alarm(12805): set mSocketMonitor
D/Socket_Alarm(12805): HTCSocketMonitorImpl::HTCSocketMonitorImpl
D/PowerManagerService(  584): acquireWakeLock(42c52270): PARTIAL_WAKE_LOCK , tag=AsyncService, flags=0x1, pid=12926, uid=10133, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(42c52270): PARTIAL_WAKE_LOCK , tag=AsyncService, flags=0x1
I/ActivityManager(  584): Recipient 11395
I/ActivityManager(  584): Process com.htc.android.rosie.widget (pid 11395) has died.
W/BroadcastQueue(  584): Permission Denial: broadcasting Intent { act=android.net.conn.INET_CONDITION_ACTION flg=0x8000010 (has extras) } from null (pid=-1, uid=-1) requires com.facebook.permission.prod.FB_APP_COMMUNICATION due to registered receiver BroadcastFilter{4304be38 ReceiverList{4304be00 12805 com.facebook.katana:dash/10028 remote:432184c8}}
W/BroadcastQueue(  584): Permission Denial: broadcasting Intent { act=android.net.conn.CONNECTIVITY_CHANGE flg=0x8000010 (has extras) } from null (pid=-1, uid=-1) requires com.facebook.permission.prod.FB_APP_COMMUNICATION due to registered receiver BroadcastFilter{4304be38 ReceiverList{4304be00 12805 com.facebook.katana:dash/10028 remote:432184c8}}
D/StateMachine(  584): handleMessage: E msg.what=131218
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131218 when=0 target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131218 when=-1ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=131218 when=-1ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=131218 when=-1ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): handleMessage: X
E/NetworkScheduler.SchedulerReceiver( 1061): Invalid parameter app
E/NetworkScheduler.SchedulerReceiver( 1061): Invalid package name : Perhaps you didn't include a PendingIntent in the extras?
D/PackageBroadcastService( 1189): Received broadcast action=android.intent.action.PACKAGE_REMOVED and uri=co.giftmeapp.giftme
I/ActivityManager(  584): Start proc com.google.android.talk for broadcast com.google.android.talk/com.google.android.apps.hangouts.phone.PackageReplacedReceiver: pid=12957 uid=10148 gids={3003, 1015, 1006, 3002, 1028}
D/PowerManagerService(  584): acquireWakeLock(42fe2910): PARTIAL_WAKE_LOCK , tag=wake:com.google.android.gms/.config.ConfigFetchService, flags=0x1, pid=1189, uid=10017, mUserState=0x3
I/ConfigService( 1061): onCreate
I/ConfigService( 1061): onBind for Intent { act=com.google.android.gms.config.UPDATE pkg=com.google.android.gms } action com.google.android.gms.config.UPDATE
I/ConfigFetchService( 1189): onStartCommand Intent { act=android.intent.action.PACKAGE_REMOVED dat=package cmp=com.google.android.gms/.config.ConfigFetchService (has extras) }
E/Trace   (12957): error opening trace file: No such file or directory (2)
W/dalvikvm(12805): VFY: unable to resolve virtual method 69: Landroid/app/PendingIntent;.getCreatorPackage ()Ljava/lang/String;
I/ConfigService( 1061): onBind returning update interface
I/ConfigService( 1061): onBind for Intent { act=com.google.android.gms.config.START pkg=com.google.android.gms } action com.google.android.gms.config.START
I/ConfigService( 1061): onBind returning service broker
W/dalvikvm(12957): VFY: unable to resolve virtual method 2585: Landroid/app/ActivityManager;.isLowRamDevice ()Z
I/Choreographer(12821): Skipped 81 frames!  The application may be doing too much work on its main thread.
I/ActivityThread(12957): Pub com.google.android.apps.hangouts.content.EsProvider: com.google.android.apps.hangouts.content.EsProvider
D/PowerManagerService(  584): acquireWakeLock(4324fb50): PARTIAL_WAKE_LOCK , tag=Icing, flags=0x1, pid=1189, uid=10017, mUserState=0x3
D/PowerManagerService(  584): acquireWakeLock(42f77ab8): PARTIAL_WAKE_LOCK , tag=WakefulIntentService[PackageService], flags=0x1, pid=1189, uid=10017, mUserState=0x3
E/dalvikvm(12957): Could not find class 'android.app.Notification$Action$Builder', referenced from method f.a
W/dalvikvm(12957): VFY: unable to resolve new-instance 402 (Landroid/app/Notification$Action$Builder;) in Lf;
E/dalvikvm(12957): Could not find class 'android.app.RemoteInput$Builder', referenced from method f.a
W/dalvikvm(12957): VFY: unable to resolve new-instance 414 (Landroid/app/RemoteInput$Builder;) in Lf;
E/dalvikvm(12957): Could not find class 'android.transition.Transition', referenced from method f.a
W/dalvikvm(12957): VFY: unable to resolve check-cast 791 (Landroid/transition/Transition;) in Lf;
